id,date,contact,description,cashCheckCC,checkNumber,account,debitAmount,creditAmount,refNumber,typeCode,dailyConfirm
26,2021-07-13,In House,Purchasing Receipt,none,0,120.0 - Inventory,60.32,0.00,11,Purchasing,0
27,2021-07-13,In House,Purchasing Receipt,none,0,210.0 - Accounts Payable,0.00,60.32,11,Purchasing,0
28,2021-07-13,In House,Sales Receipt,none,0,110.0 - Account Receivables,58.66,0.00,18,Sales,0
29,2021-07-13,In House,Sales Receipt,none,0,400.1 - Revenue,0.00,49.00,18,Sales,0
30,2021-07-13,In House,Sales Receipt,none,0,200.0 - Sales Tax Payable,0.00,4.66,18,Sales,0
31,2021-07-13,In House,Sales Receipt,none,0,400.2 - Shipping COS,0.00,5.00,18,Sales,0
32,2021-07-13,In House,Sales Receipt,none,0,120.0 - Inventory,0.00,13.53,18,Sales,0
33,2021-07-13,In House,Sales Receipt,none,0,400.6 - Inventory COS,13.53,0.00,18,Sales,0
34,2020-12-30,Prior Period,Prior Period Adj,none,0,101.2 - Western State Bank - Checking,0.00,100.00,1,Cash,0
35,2020-12-30,Prior Period,Prior Period Adj,none,0,500.1 - Utilities,100.00,0.00,1,Cash,0
36,2021-07-01,cosco,Food,none,0,101.2 - Western State Bank - Checking,0.00,99.99,2,Cash,0
37,2021-07-01,cosco,Food,none,0,500.2 - Auto Exp,99.99,0.00,2,Cash,0
,,,,,,,,,,,
Totals,,,,,,,,,,,
Account Number,Account Name,Debit Amount,Credit Amount,Total,,,,,,,
101.0,Cash Drawer,,,,,,,,,,
101.1,Petty Cash,,,,,,,,,,
101.2,Western State Bank - Checking,0,199.99,-199.99,,,,,,,
101.3,USAA - Checking,,,,,,,,,,
101.4,Funds - Funds Account,,,,,,,,,,
110.0,Account Receivables,58.66,0,58.66,,,,,,,
120.0,Inventory,60.32,13.53,46.79,,,,,,,
200.0,Sales Tax Payable,0,4.66,4.66,,,,,,,
210.0,Accounts Payable,0,60.32,60.32,,,,,,,
220.0,Labor Production,,,,,,,,,,
300.0,Owners Capital,,,,,,,,,,
380.0,Net Income,,,,,,,,,,
399.9,Retained Earnings,,,,,,,,,,
400.1,Revenue,0,49,49,,,,,,,
400.2,Shipping COS,0,5,5,,,,,,,
400.3,Inventory Adj,,,,,,,,,,
400.4,Fees Revenue,,,,,,,,,,
400.5,Discounts,,,,,,,,,,
400.6,Inventory COS,13.53,0,-13.53,,,,,,,
401.0,Farmer's Market,,,,,,,,,,
500.0,Rent Expense,,,,,,,,,,
500.1,Utilities,100,0,100,,,,,,,
500.2,Auto Exp,99.99,0,99.99,,,,,,,
